,CustomerID,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Country,InvoiceNo_Date,InvoiceDateExclusive,InvoiceTimeExclusive,InvoiceDate_new,Total Amount,Months,TimeSinceLastTxn,Days_SinceLastTxn,Years_SinceLastTxn,Months_SinceLastTxn,InvoiceNo Counts,Total Amount Sum
0,12747.0,558265,22424,ENAMEL BREAD BIN CREAM,1,6/28/2011 10:06,12.75,United Kingdom,558265_6/28/2011 10:06,2011-06-28,10:06,2011-06-28 10:06:00,12.75,6,3777 days,3777,10.347945205479451,124.17534246575342,1,4196.010000000001
1,12748.0,555620,22436,12 COLOURED PARTY BALLOONS,20,6/6/2011 11:46,0.65,United Kingdom,555620_6/6/2011 11:46,2011-06-06,11:46,2011-06-06 11:46:00,13.0,6,3799 days,3799,10.408219178082192,124.8986301369863,16,29072.100000000413
2,12823.0,548245,48138,DOORMAT UNION FLAG,60,3/30/2011 10:36,7.65,United Kingdom,548245_3/30/2011 10:36,2011-03-30,10:36,2011-03-30 10:36:00,459.0,3,3867 days,3867,10.594520547945205,127.13424657534246,1,1759.5
3,12826.0,556681,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,6/14/2011 9:41,0.29,United Kingdom,556681_6/14/2011 9:41,2011-06-14,9:41,2011-06-14 09:41:00,13.919999999999998,6,3791 days,3791,10.386301369863014,124.63561643835618,2,1468.1199999999997
4,12839.0,556229,20712,JUMBO BAG WOODLAND ANIMALS,10,6/9/2011 14:43,2.08,United Kingdom,556229_6/9/2011 14:43,2011-06-09,14:43,2011-06-09 14:43:00,20.8,6,3796 days,3796,10.4,124.80000000000001,1,5583.620000000003
5,12841.0,556477,21206,STRAWBERRY HONEYCOMB  GARLAND ,6,6/12/2011 12:20,1.65,United Kingdom,556477_6/12/2011 12:20,2011-06-12,12:20,2011-06-12 12:20:00,9.9,6,3793 days,3793,10.391780821917807,124.7013698630137,1,3876.399999999998
6,12867.0,552469,79190B,RETRO PLASTIC POLKA TRAY,5,5/9/2011 15:34,0.42,United Kingdom,552469_5/9/2011 15:34,2011-05-09,15:34,2011-05-09 15:34:00,2.1,5,3827 days,3827,10.484931506849316,125.8191780821918,1,3986.2199999999953
7,12868.0,536523,22699,ROSES REGENCY TEACUP AND SAUCER ,6,12/1/2010 12:50,2.95,United Kingdom,536523_12/1/2010 12:50,2010-12-01,12:50,2010-12-01 12:50:00,17.700000000000006,12,3986 days,3986,10.92054794520548,131.04657534246576,1,1607.0600000000009
8,12877.0,556914,15044C,PURPLE PAPER PARASOL,6,6/15/2011 13:34,2.95,United Kingdom,556914_6/15/2011 13:34,2011-06-15,13:34,2011-06-15 13:34:00,17.700000000000006,6,3790 days,3790,10.383561643835616,124.6027397260274,1,1535.7700000000007
9,12901.0,556047,21915,RED  HARMONICA IN BOX ,24,6/8/2011 12:57,1.25,United Kingdom,556047_6/8/2011 12:57,2011-06-08,12:57,2011-06-08 12:57:00,30.0,6,3797 days,3797,10.402739726027397,124.83287671232875,6,16293.099999999997
